 603|*| 57|gam1|And|02 03 53.9|+42 19 47| 44.23| 27.81|  362| 2.26|K3-IIb             | 4
 604| | 57|gam2|And|02 03 54.7|+42 19 51| 44.23| 27.81|  362| 4.84|B8V+A0V            | 4
 612| |   | nu |For|02 04 29.4|-29 17 49| 16.34|-38.92|  362| 4.69|B9.5pSi            |
 617|*| 13|alf |Ari|02 07 10.3|+23 27 45| 37.66|  9.97|   66| 2.01|K2IIIabCa-I        |
 620| | 58|    |And|02 08 29.2|+37 51 33| 43.26| 23.33|  203| 4.83|A5IV-V             |
 622| |  4|bet |Tri|02 09 32.5|+34 59 14| 42.35| 20.58|  125| 3.00|A5III              |
 623| | 14|    |Ari|02 09 25.3|+25 56 24| 39.02| 12.12|  326| 4.98|F2III              | 3
 642| |  6|    |Tri|02 12 22.2|+30 18 11| 41.20| 15.99|  326| 4.94|G5III+F5V          | 2
 643| | 60|    |And|02 13 13.2|+44 13 55| 46.83| 28.91|  289| 4.83|K3.5IIIBa0.5:      |
 649| | 65| xi1|Cet|02 12 59.9|+08 50 48| 34.04| -4.27|  362| 4.35|G6II-IIICN-2       | 2
 660| |  8|del |Tri|02 17 03.2|+34 13 28| 43.60| 19.32|   35| 4.87|G0V                | 2
 664| |  9|gam |Tri|02 17 18.8|+33 50 50| 43.52| 18.95|  120| 4.01|A1Vnn              |
 674| |   |phi |Eri|02 16 30.6|-51 30 44|  1.00|-58.99|  155| 3.56|B8V-IV             | 2
 681|*| 68|omi |Cet|02 19 20.7|-02 58 39| 31.52|-15.94|  465| 3.05|M7IIIe             | 4
 699| | 65|    |And|02 25 37.3|+50 16 43| 51.81| 33.70|  362| 4.70|K4+III             | 3
 705| |   |del |Hyi|02 21 45.1|-68 39 34|329.18|-69.80|  135| 4.09|A3V                |
 707| |   |iot |Cas|02 29 03.9|+67 24 09| 62.23| 48.98|  141| 4.53|A5pSr              | 4
 708| | 72| ro |Cet|02 25 56.9|-12 17 26| 29.72|-25.24|  543| 4.89|B9.5Vn             |
 718| | 73| xi2|Cet|02 28 09.5|+08 27 36| 37.47| -5.86|  181| 4.30|B9III              |
 721| |   |kap |Eri|02 26 59.1|-47 42 14|  7.94|-57.01|  543| 4.25|B5IV               |
 740| | 76|sig |Cet|02 32 05.1|-15 14 41| 30.10|-28.53|   85| 4.75|F4IV               |
 749| |   |omg |For|02 33 50.6|-28 13 57| 24.51|-40.69|  465| 4.89|B9.5V              | 2
 754| | 78| nu |Cet|02 35 52.4|+05 35 36| 38.39| -9.18|  407| 4.86|G8III              | 2
 779| | 82|del |Cet|02 39 28.9|+00 19 43| 37.57|-14.46|  815| 4.06|B2IV               |
 781| | 83|eps |Cet|02 39 33.7|-11 52 20| 33.34|-26.00|   90| 4.84|F5V+F6V            | 2
 788| | 12|    |Per|02 42 14.9|+40 11 38| 50.84| 23.24|   81| 4.92|F9V                | 2
 789| |   |    |   |02 39 47.9|-42 53 30| 15.98|-54.25|  130| 4.75|A2V                | 2
 794| |   |iot |Eri|02 40 40.0|-39 51 19| 18.77|-51.71|  148| 4.11|K0III              |
 799| | 13|tet |Per|02 44 11.9|+49 13 43| 54.67| 31.62|   36| 4.13|F8V                | 3
 801| | 35|    |Ari|02 43 27.0|+27 42 26| 46.93| 11.31|  407| 4.67|B3V                |
 804| | 86|gam |Cet|02 43 18.0|+03 14 09| 39.43|-12.00|   83| 3.47|A3V                | 3
 806| |   |eps |Hyi|02 39 35.5|-68 16 01|331.91|-71.22|  155| 4.11|B9V                |
 811| | 89| pi |Cet|02 44 07.3|-13 51 32| 33.76|-28.25|  465| 4.24|B7V                |
 813| | 87| mu |Cet|02 44 56.5|+10 06 51| 41.94| -5.57|   85| 4.27|F0IV               | 2
 818| |  1|tau1|Eri|02 45 06.1|-18 34 21| 32.11|-32.75|   45| 4.46|F6V                |
 824| | 39|    |Ari|02 47 54.5|+29 14 50| 48.37| 12.48|  181| 4.52|K1III              |
 834| | 15|eta |Per|02 50 41.8|+55 53 44| 58.70| 37.48|  588| 3.79|M3-Ib-IIa          | 6
 837| |   |zet |Hyi|02 45 32.6|-67 37 00|334.41|-71.53|  296| 4.84|A2IV-V             |
 838| | 41|    |Ari|02 49 59.0|+27 15 38| 48.20| 10.45|  163| 3.62|B8Vn               | 4
 840| | 16|    |Per|02 50 34.9|+38 19 07| 51.84| 20.94|  130| 4.23|F2III              | 3
 841| |   |bet |For|02 49 05.4|-32 24 22| 26.23|-45.86|  171| 4.46|G8IIIb             | 2
 843| | 17|    |Per|02 51 30.8|+35 03 35| 50.95| 17.79|  465| 4.53|K7III              |
 850| |  2|tau2|Eri|02 51 02.2|-21 00 15| 32.63|-35.52|  191| 4.77|K0III              | 2
 854| | 18|tau |Per|02 54 15.4|+52 45 45| 57.91| 34.37|  250| 3.96|G4III+A4V          | 4
 868| |   |    |   |02 53 52.8|-49 53 25| 12.36|-61.40|  496| 3.92|M7IIIe             |
